,2019
".Autauga County, Alabama",55869.0
".Baldwin County, Alabama",223234.0
".Barbour County, Alabama",24686.0
".Bibb County, Alabama",22394.0
".Blount County, Alabama",57826.0
".Bullock County, Alabama",10101.0
".Butler County, Alabama",19448.0
".Calhoun County, Alabama",113605.0
".Chambers County, Alabama",33254.0
".Cherokee County, Alabama",26196.0
".Chilton County, Alabama",44428.0
".Choctaw County, Alabama",12589.0
".Clarke County, Alabama",23622.0
".Clay County, Alabama",13235.0
".Cleburne County, Alabama",14910.0
".Coffee County, Alabama",52342.0
".Colbert County, Alabama",55241.0
".Conecuh County, Alabama",12067.0
".Coosa County, Alabama",10663.0
".Covington County, Alabama",37049.0
".Crenshaw County, Alabama",13772.0
".Cullman County, Alabama",83768.0
".Dale County, Alabama",49172.0
".Dallas County, Alabama",37196.0
".DeKalb County, Alabama",71513.0
".Elmore County, Alabama",81209.0
".Escambia County, Alabama",36633.0
".Etowah County, Alabama",102268.0
".Fayette County, Alabama",16302.0
".Franklin County, Alabama",31362.0
".Geneva County, Alabama",26271.0
".Greene County, Alabama",8111.0
".Hale County, Alabama",14651.0
".Henry County, Alabama",17205.0
".Houston County, Alabama",105882.0
".Jackson County, Alabama",51626.0
".Jefferson County, Alabama",658573.0
".Lamar County, Alabama",13805.0
".Lauderdale County, Alabama",92729.0
".Lawrence County, Alabama",32924.0
".Lee County, Alabama",164542.0
".Limestone County, Alabama",98915.0
".Lowndes County, Alabama",9726.0
".Macon County, Alabama",18068.0
".Madison County, Alabama",372909.0
".Marengo County, Alabama",18863.0
".Marion County, Alabama",29709.0
".Marshall County, Alabama",96774.0
".Mobile County, Alabama",413210.0
".Monroe County, Alabama",20733.0
".Montgomery County, Alabama",226486.0
".Morgan County, Alabama",119679.0
".Perry County, Alabama",8923.0
".Pickens County, Alabama",19930.0
".Pike County, Alabama",33114.0
".Randolph County, Alabama",22722.0
".Russell County, Alabama",57961.0
".St. Clair County, Alabama",89512.0
".Shelby County, Alabama",217702.0
".Sumter County, Alabama",12427.0
".Talladega County, Alabama",79978.0
".Tallapoosa County, Alabama",40367.0
".Tuscaloosa County, Alabama",209355.0
".Walker County, Alabama",63521.0
".Washington County, Alabama",16326.0
".Wilcox County, Alabama",10373.0
".Winston County, Alabama",23629.0
".Aleutians East Borough, Alaska",3337.0
".Aleutians West Census Area, Alaska",5634.0
".Anchorage Municipality, Alaska",288000.0
".Bethel Census Area, Alaska",18386.0
".Bristol Bay Borough, Alaska",836.0
".Denali Borough, Alaska",2097.0
".Dillingham Census Area, Alaska",4916.0
".Fairbanks North Star Borough, Alaska",96849.0
".Haines Borough, Alaska",2530.0
".Hoonah-Angoon Census Area, Alaska",2148.0
".Juneau City and Borough, Alaska",31974.0
".Kenai Peninsula Borough, Alaska",58708.0
".Ketchikan Gateway Borough, Alaska",13901.0
".Kodiak Island Borough, Alaska",12998.0
".Kusilvak Census Area, Alaska",8314.0
".Lake and Peninsula Borough, Alaska",1592.0
".Matanuska-Susitna Borough, Alaska",108317.0
".Nome Census Area, Alaska",10004.0
".North Slope Borough, Alaska",9832.0
".Northwest Arctic Borough, Alaska",7621.0
".Petersburg Borough, Alaska",3266.0
".Prince of Wales-Hyder Census Area, Alaska",6203.0
".Sitka City and Borough, Alaska",8493.0
".Skagway Municipality, Alaska",1183.0
".Southeast Fairbanks Census Area, Alaska",6893.0
".Valdez-Cordova Census Area, Alaska",9202.0
".Wrangell City and Borough, Alaska",2502.0
".Yakutat City and Borough, Alaska",579.0
".Yukon-Koyukuk Census Area, Alaska",5230.0
".Apache County, Arizona",71887.0
".Cochise County, Arizona",125922.0
".Coconino County, Arizona",143476.0
".Gila County, Arizona",54018.0
".Graham County, Arizona",38837.0
".Greenlee County, Arizona",9498.0
".La Paz County, Arizona",21108.0
".Maricopa County, Arizona",4485414.0
".Mohave County, Arizona",212181.0
".Navajo County, Arizona",110924.0
".Pima County, Arizona",1047279.0
".Pinal County, Arizona",462789.0
".Santa Cruz County, Arizona",46498.0
".Yavapai County, Arizona",235099.0
".Yuma County, Arizona",213787.0
".Arkansas County, Arkansas",17486.0
".Ashley County, Arkansas",19657.0
".Baxter County, Arkansas",41932.0
".Benton County, Arkansas",279141.0
".Boone County, Arkansas",37432.0
".Bradley County, Arkansas",10763.0
".Calhoun County, Arkansas",5189.0
".Carroll County, Arkansas",28380.0
".Chicot County, Arkansas",10118.0
".Clark County, Arkansas",22320.0
".Clay County, Arkansas",14551.0
".Cleburne County, Arkansas",24919.0
".Cleveland County, Arkansas",7956.0
".Columbia County, Arkansas",23457.0
".Conway County, Arkansas",20846.0
".Craighead County, Arkansas",110332.0
".Crawford County, Arkansas",63257.0
".Crittenden County, Arkansas",47955.0
".Cross County, Arkansas",16419.0
".Dallas County, Arkansas",7009.0
".Desha County, Arkansas",11361.0
".Drew County, Arkansas",18219.0
".Faulkner County, Arkansas",126007.0
".Franklin County, Arkansas",17715.0
".Fulton County, Arkansas",12477.0
".Garland County, Arkansas",99386.0
".Grant County, Arkansas",18265.0
".Greene County, Arkansas",45325.0
".Hempstead County, Arkansas",21532.0
".Hot Spring County, Arkansas",33771.0
".Howard County, Arkansas",13202.0
".Independence County, Arkansas",37825.0
".Izard County, Arkansas",13629.0
".Jackson County, Arkansas",16719.0
".Jefferson County, Arkansas",66824.0
".Johnson County, Arkansas",26578.0
".Lafayette County, Arkansas",6624.0
".Lawrence County, Arkansas",16406.0
".Lee County, Arkansas",8857.0
".Lincoln County, Arkansas",13024.0
".Little River County, Arkansas",12259.0
".Logan County, Arkansas",21466.0
".Lonoke County, Arkansas",73309.0
".Madison County, Arkansas",16576.0
".Marion County, Arkansas",16694.0
".Miller County, Arkansas",43257.0
".Mississippi County, Arkansas",40651.0
".Monroe County, Arkansas",6701.0
".Montgomery County, Arkansas",8986.0
".Nevada County, Arkansas",8252.0
".Newton County, Arkansas",7753.0
".Ouachita County, Arkansas",23382.0
".Perry County, Arkansas",10455.0
".Phillips County, Arkansas",17782.0
".Pike County, Arkansas",10718.0
".Poinsett County, Arkansas",23528.0
".Polk County, Arkansas",19964.0
".Pope County, Arkansas",64072.0
".Prairie County, Arkansas",8062.0
".Pulaski County, Arkansas",391911.0
".Randolph County, Arkansas",17958.0
".St. Francis County, Arkansas",24994.0
".Saline County, Arkansas",122437.0
".Scott County, Arkansas",10281.0
".Searcy County, Arkansas",7881.0
".Sebastian County, Arkansas",127827.0
".Sevier County, Arkansas",17007.0
".Sharp County, Arkansas",17442.0
".Stone County, Arkansas",12506.0
".Union County, Arkansas",38682.0
".Van Buren County, Arkansas",16545.0
".Washington County, Arkansas",239187.0
".White County, Arkansas",78753.0
".Woodruff County, Arkansas",6320.0
".Yell County, Arkansas",21341.0
".Alameda County, California",1671329.0
".Alpine County, California",1129.0
".Amador County, California",39752.0
".Butte County, California",219186.0
".Calaveras County, California",45905.0
".Colusa County, California",21547.0
".Contra Costa County, California",1153526.0
".Del Norte County, California",27812.0
".El Dorado County, California",192843.0
".Fresno County, California",999101.0
".Glenn County, California",28393.0
".Humboldt County, California",135558.0
".Imperial County, California",181215.0
".Inyo County, California",18039.0
".Kern County, California",900202.0
".Kings County, California",152940.0
".Lake County, California",64386.0
".Lassen County, California",30573.0
".Los Angeles County, California",10039107.0
".Madera County, California",157327.0
".Marin County, California",258826.0
".Mariposa County, California",17203.0
".Mendocino County, California",86749.0
".Merced County, California",277680.0
".Modoc County, California",8841.0
".Mono County, California",14444.0
".Monterey County, California",434061.0
".Napa County, California",137744.0
".Nevada County, California",99755.0
".Orange County, California",3175692.0
".Placer County, California",398329.0
".Plumas County, California",18807.0
".Riverside County, California",2470546.0
".Sacramento County, California",1552058.0
".San Benito County, California",62808.0
".San Bernardino County, California",2180085.0
".San Diego County, California",3338330.0
".San Francisco County, California",881549.0
".San Joaquin County, California",762148.0
".San Luis Obispo County, California",283111.0
".San Mateo County, California",766573.0
".Santa Barbara County, California",446499.0
".Santa Clara County, California",1927852.0
".Santa Cruz County, California",273213.0
".Shasta County, California",180080.0
".Sierra County, California",3005.0
".Siskiyou County, California",43539.0
".Solano County, California",447643.0
".Sonoma County, California",494336.0
".Stanislaus County, California",550660.0
".Sutter County, California",96971.0
".Tehama County, California",65084.0
".Trinity County, California",12285.0
".Tulare County, California",466195.0
".Tuolumne County, California",54478.0
".Ventura County, California",846006.0
".Yolo County, California",220500.0
".Yuba County, California",78668.0
".Adams County, Colorado",517421.0
".Alamosa County, Colorado",16233.0
".Arapahoe County, Colorado",656590.0
".Archuleta County, Colorado",14029.0
".Baca County, Colorado",3581.0
".Bent County, Colorado",5577.0
".Boulder County, Colorado",326196.0
".Broomfield County, Colorado",70465.0
".Chaffee County, Colorado",20356.0
".Cheyenne County, Colorado",1831.0
".Clear Creek County, Colorado",9700.0
".Conejos County, Colorado",8205.0
".Costilla County, Colorado",3887.0
".Crowley County, Colorado",6061.0
".Custer County, Colorado",5068.0
".Delta County, Colorado",31162.0
".Denver County, Colorado",727211.0
".Dolores County, Colorado",2055.0
".Douglas County, Colorado",351154.0
".Eagle County, Colorado",55127.0
".Elbert County, Colorado",26729.0
".El Paso County, Colorado",720403.0
".Fremont County, Colorado",47839.0
".Garfield County, Colorado",60061.0
".Gilpin County, Colorado",6243.0
".Grand County, Colorado",15734.0
".Gunnison County, Colorado",17462.0
".Hinsdale County, Colorado",820.0
".Huerfano County, Colorado",6897.0
".Jackson County, Colorado",1392.0
".Jefferson County, Colorado",582881.0
".Kiowa County, Colorado",1406.0
".Kit Carson County, Colorado",7097.0
".Lake County, Colorado",8127.0
".La Plata County, Colorado",56221.0
".Larimer County, Colorado",356899.0
".Las Animas County, Colorado",14506.0
".Lincoln County, Colorado",5701.0
".Logan County, Colorado",22409.0
".Mesa County, Colorado",154210.0
".Mineral County, Colorado",769.0
".Moffat County, Colorado",13283.0
".Montezuma County, Colorado",26183.0
".Montrose County, Colorado",42758.0
".Morgan County, Colorado",29068.0
".Otero County, Colorado",18278.0
".Ouray County, Colorado",4952.0
".Park County, Colorado",18845.0
".Phillips County, Colorado",4265.0
".Pitkin County, Colorado",17767.0
".Prowers County, Colorado",12172.0
".Pueblo County, Colorado",168424.0
".Rio Blanco County, Colorado",6324.0
".Rio Grande County, Colorado",11267.0
".Routt County, Colorado",25638.0
".Saguache County, Colorado",6824.0
".San Juan County, Colorado",728.0
".San Miguel County, Colorado",8179.0
".Sedgwick County, Colorado",2248.0
".Summit County, Colorado",31011.0
".Teller County, Colorado",25388.0
".Washington County, Colorado",4908.0
".Weld County, Colorado",324492.0
".Yuma County, Colorado",10019.0
".Fairfield County, Connecticut",943332.0
".Hartford County, Connecticut",891720.0
".Litchfield County, Connecticut",180333.0
".Middlesex County, Connecticut",162436.0
".New Haven County, Connecticut",854757.0
".New London County, Connecticut",265206.0
".Tolland County, Connecticut",150721.0
".Windham County, Connecticut",116782.0
".Kent County, Delaware",180786.0
".New Castle County, Delaware",558753.0
".Sussex County, Delaware",234225.0
".District of Columbia, District of Columbia",705749.0
".Alachua County, Florida",269043.0
".Baker County, Florida",29210.0
".Bay County, Florida",174705.0
".Bradford County, Florida",28201.0
".Brevard County, Florida",601942.0
".Broward County, Florida",1952778.0
".Calhoun County, Florida",14105.0
".Charlotte County, Florida",188910.0
".Citrus County, Florida",149657.0
".Clay County, Florida",219252.0
".Collier County, Florida",384902.0
".Columbia County, Florida",71686.0
".DeSoto County, Florida",38001.0
".Dixie County, Florida",16826.0
".Duval County, Florida",957755.0
".Escambia County, Florida",318316.0
".Flagler County, Florida",115081.0
".Franklin County, Florida",12125.0
".Gadsden County, Florida",45660.0
".Gilchrist County, Florida",18582.0
".Glades County, Florida",13811.0
".Gulf County, Florida",13639.0
".Hamilton County, Florida",14428.0
".Hardee County, Florida",26937.0
".Hendry County, Florida",42022.0
".Hernando County, Florida",193920.0
".Highlands County, Florida",106221.0
".Hillsborough County, Florida",1471968.0
".Holmes County, Florida",19617.0
".Indian River County, Florida",159923.0
".Jackson County, Florida",46414.0
".Jefferson County, Florida",14246.0
".Lafayette County, Florida",8422.0
".Lake County, Florida",367118.0
".Lee County, Florida",770577.0
".Leon County, Florida",293582.0
".Levy County, Florida",41503.0
".Liberty County, Florida",8354.0
".Madison County, Florida",18493.0
".Manatee County, Florida",403253.0
".Marion County, Florida",365579.0
".Martin County, Florida",161000.0
".Miami-Dade County, Florida",2716940.0
".Monroe County, Florida",74228.0
".Nassau County, Florida",88625.0
".Okaloosa County, Florida",210738.0
".Okeechobee County, Florida",42168.0
".Orange County, Florida",1393452.0
".Osceola County, Florida",375751.0
".Palm Beach County, Florida",1496770.0
".Pasco County, Florida",553947.0
".Pinellas County, Florida",974996.0
".Polk County, Florida",724777.0
".Putnam County, Florida",74521.0
".St. Johns County, Florida",264672.0
".St. Lucie County, Florida",328297.0
