name,population
China,1402.277
India,1361.221411
United States,329.54425699999996
Indonesia,266.9119
Pakistan,219.33552
Brazil,211.411734
Nigeria,206.13958699999998
Bangladesh,168.467562
Russia,146.74509799999998
Mexico,126.57769099999999
Japan,125.94999999999999
Philippines,108.514703
Egypt,100.27252399999999
Ethiopia,98.66499999999999
Vietnam,96.208984
DR Congo,89.561404
Iran,83.377443
Turkey,83.154997
Germany,83.1493
France,67.076
Thailand,66.495192
United Kingdom,66.43554999999999
Italy,60.238521999999996
South Africa,58.775022
Tanzania,55.890747
Myanmar,54.339766
South Korea,51.780578999999996
Colombia,49.395678
Kenya,47.564296
Spain,47.100395999999996
Argentina,44.938711999999995
Algeria,43.0
Sudan,42.437934999999996
Ukraine,41.879903999999996
Uganda,40.299299999999995
Iraq,39.1279
Poland,38.379
Canada,37.998978
Morocco,35.873096
Saudi Arabia,34.218168999999996
Uzbekistan,34.135343
Malaysia,32.75476
Afghanistan,32.22556
Venezuela,32.219521
Peru,32.1314
Angola,31.127674
Ghana,30.280811
Mozambique,30.066647999999997
Nepal,29.996478
Yemen,29.825968
Cameroon,26.545863999999998
Madagascar,26.251309
Ivory Coast,25.823071
Australia,25.682823
North Korea,25.45
Taiwan,23.604264999999998
Niger,22.314743
Sri Lanka,21.802999999999997
Burkina Faso,20.87006
Mali,20.250833
Romania,19.405155999999998
Malawi,19.129952
Chile,19.107215999999998
Kazakhstan,18.684943999999998
Zambia,17.885422
Syria,17.500657
Ecuador,17.468215999999998
Netherlands,17.456981
Guatemala,16.604025999999998
Chad,16.244512999999998
Senegal,16.209125
Somalia,15.893218999999998
Cambodia,15.288488999999998
Zimbabwe,15.159623999999999
South Sudan,12.77825
Rwanda,12.374397
Guinea,12.218357
Benin,11.733058999999999
Tunisia,11.722038
Haiti,11.577779
Belgium,11.524453999999999
Bolivia,11.469896
Cuba,11.209628
Burundi,10.953317
Greece,10.724599
Czech Republic,10.693939
Jordan,10.661704
Dominican Republic,10.358319999999999
Sweden,10.338368
Portugal,10.276617
Azerbaijan,10.067108
United Arab Emirates,9.8904
Hungary,9.772756
Belarus,9.4084
Israel,9.18765
Honduras,9.158344999999999
Tajikistan,9.126999999999999
Papua New Guinea,8.934999999999999
Austria,8.9026
Switzerland,8.603899
Sierra Leone,7.901453999999999
Togo,7.537999999999999
Hong Kong,7.500699999999999
Paraguay,7.152703
Laos,7.123205
Bulgaria,6.9514819999999995
Serbia,6.963763999999999
Libya,6.871287
Lebanon,6.825442
Kyrgyzstan,6.5335
El Salvador,6.486200999999999
Nicaragua,6.460411
Turkmenistan,6.031187
Denmark,5.822763
Singapore,5.7036
Finland,5.527572999999999
Congo,5.518091999999999
Central African Republic,5.496010999999999
Slovakia,5.4563619999999995
Norway,5.367579999999999
Costa Rica,5.058007
New Zealand,4.97929
Palestine,4.976684
Ireland,4.9215
Oman,4.66479
Liberia,4.475353
Kuwait,4.42011
Panama,4.218808
Mauritania,4.077347
Croatia,4.076246
Georgia,3.723464
Uruguay,3.5185519999999997
Eritrea,3.497117
Mongolia,3.313377
Bosnia and Herzegovina,3.3009999999999997
Puerto Rico,3.193694
Armenia,2.9575
Albania,2.845955
Lithuania,2.793471
Qatar,2.747282
Jamaica,2.726667
Moldova,2.6817349999999998
Namibia,2.458936
Gambia,2.347706
Botswana,2.338851
Gabon,2.172579
Slovenia,2.09406
North Macedonia,2.0771319999999998
Lesotho,2.007201
Latvia,1.9067999999999998
Kosovo,1.795666
Guinea-Bissau,1.604528
Bahrain,1.5433
East Timor,1.387149
Trinidad and Tobago,1.363985
Equatorial Guinea,1.358276
