State Abbreviation,State FIPS Code,County FIPS Code,FIPS Entity Code,ANSI Code,GU Name,Entity Description
AL,01,001,00000,00161526,Autauga,County
AL,01,003,00000,00161527,Baldwin,County
AL,01,005,00000,00161528,Barbour,County
AL,01,007,00000,00161529,Bibb,County
AL,01,009,00000,00161530,Blount,County
AL,01,011,00000,00161531,Bullock,County
AL,01,013,00000,00161532,Butler,County
AL,01,015,00000,00161533,Calhoun,County
AL,01,017,00000,00161534,Chambers,County
AL,01,019,00000,00161535,Cherokee,County
AL,01,021,00000,00161536,Chilton,County
AL,01,023,00000,00161537,Choctaw,County
AL,01,025,00000,00161538,Clarke,County
AL,01,027,00000,00161539,Clay,County
AL,01,029,00000,00161540,Cleburne,County
AL,01,031,00000,00161541,Coffee,County
AL,01,033,00000,00161542,Colbert,County
AL,01,035,00000,00161543,Conecuh,County
AL,01,037,00000,00161544,Coosa,County
AL,01,039,00000,00161545,Covington,County
AL,01,041,00000,00161546,Crenshaw,County
AL,01,043,00000,00161547,Cullman,County
AL,01,045,00000,00161548,Dale,County
AL,01,047,00000,00161549,Dallas,County
AL,01,049,00000,00161550,DeKalb,County
AL,01,051,00000,00161551,Elmore,County
AL,01,053,00000,00161552,Escambia,County
AL,01,055,00000,00161553,Etowah,County
AL,01,057,00000,00161554,Fayette,County
AL,01,059,00000,00161555,Franklin,County
AL,01,061,00000,00161556,Geneva,County
AL,01,063,00000,00161557,Greene,County
AL,01,065,00000,00161558,Hale,County
AL,01,067,00000,00161559,Henry,County
AL,01,069,00000,00161560,Houston,County
AL,01,071,00000,00161561,Jackson,County
AL,01,073,00000,00161562,Jefferson,County
AL,01,075,00000,00161563,Lamar,County
AL,01,077,00000,00161564,Lauderdale,County
AL,01,079,00000,00161565,Lawrence,County
AL,01,081,00000,00161566,Lee,County
AL,01,083,00000,00161567,Limestone,County
AL,01,085,00000,00161568,Lowndes,County
AL,01,087,00000,00161569,Macon,County
AL,01,089,00000,00161570,Madison,County
AL,01,091,00000,00161572,Marengo,County
AL,01,093,00000,00161573,Marion,County
AL,01,095,00000,00161574,Marshall,County
AL,01,097,00000,00161575,Mobile,County
AL,01,099,00000,00161576,Monroe,County
AL,01,101,00000,00161577,Montgomery,County
AL,01,103,00000,00161578,Morgan,County
AL,01,105,00000,00161579,Perry,County
AL,01,107,00000,00161580,Pickens,County
AL,01,109,00000,00161581,Pike,County
AL,01,111,00000,00161582,Randolph,County
AL,01,113,00000,00161583,Russell,County
AL,01,117,00000,00161584,Shelby,County
AL,01,115,00000,00164997,St. Clair,County
AL,01,119,00000,00161585,Sumter,County
AL,01,121,00000,00161586,Talladega,County
AL,01,123,00000,00161587,Tallapoosa,County
AL,01,125,00000,00161588,Tuscaloosa,County
AL,01,127,00000,00161589,Walker,County
AL,01,129,00000,00161590,Washington,County
AL,01,131,00000,00161591,Wilcox,County
AL,01,133,00000,00161592,Winston,County
AZ,04,001,00000,00025441,Apache,County
AZ,04,003,00000,00025442,Cochise,County
AZ,04,005,00000,00025443,Coconino,County
AZ,04,007,00000,00040471,Gila,County
AZ,04,009,00000,00025444,Graham,County
AZ,04,011,00000,00042807,Greenlee,County
AZ,04,012,00000,00043540,La Paz,County
AZ,04,013,00000,00037026,Maricopa,County
AZ,04,015,00000,00025445,Mohave,County
AZ,04,017,00000,00042808,Navajo,County
AZ,04,019,00000,00025446,Pima,County
AZ,04,021,00000,00025447,Pinal,County
AZ,04,023,00000,00040472,Santa Cruz,County
AZ,04,025,00000,00042809,Yavapai,County
AZ,04,027,00000,00023901,Yuma,County
AR,05,001,00000,00063755,Arkansas,County
AR,05,003,00000,00063756,Ashley,County
AR,05,005,00000,00069895,Baxter,County
AR,05,007,00000,00069896,Benton,County
AR,05,009,00000,00069897,Boone,County
AR,05,011,00000,00063757,Bradley,County
AR,05,013,00000,00063758,Calhoun,County
AR,05,015,00000,00066975,Carroll,County
AR,05,017,00000,00069160,Chicot,County
AR,05,019,00000,00066845,Clark,County
AR,05,021,00000,00063759,Clay,County
AR,05,023,00000,00066983,Cleburne,County
AR,05,025,00000,00063760,Cleveland,County
AR,05,027,00000,00063761,Columbia,County
AR,05,029,00000,00066846,Conway,County
AR,05,031,00000,00066847,Craighead,County
AR,05,033,00000,00069161,Crawford,County
AR,05,035,00000,00069162,Crittenden,County
AR,05,037,00000,00066848,Cross,County
AR,05,039,00000,00066849,Dallas,County
AR,05,041,00000,00066850,Desha,County
AR,05,043,00000,00066851,Drew,County
AR,05,045,00000,00066852,Faulkner,County
AR,05,047,00000,00066853,Franklin,County
AR,05,049,00000,00066854,Fulton,County
AR,05,051,00000,00066855,Garland,County
AR,05,053,00000,00066856,Grant,County
AR,05,055,00000,00066857,Greene,County
AR,05,057,00000,00066858,Hempstead,County
AR,05,059,00000,00066859,Hot Spring,County
AR,05,061,00000,00066872,Howard,County
AR,05,063,00000,00069163,Independence,County
AR,05,065,00000,00066860,Izard,County
AR,05,067,00000,00066861,Jackson,County
AR,05,069,00000,00066862,Jefferson,County
AR,05,071,00000,00066863,Johnson,County
AR,05,073,00000,00066864,Lafayette,County
AR,05,075,00000,00066865,Lawrence,County
AR,05,077,00000,00066866,Lee,County
AR,05,079,00000,00066873,Lincoln,County
AR,05,081,00000,00066874,Little River,County
AR,05,083,00000,00082850,Logan,County
AR,05,085,00000,00069164,Lonoke,County
AR,05,087,00000,00069165,Madison,County
AR,05,089,00000,00069898,Marion,County
AR,05,091,00000,00069166,Miller,County
AR,05,093,00000,00069899,Mississippi,County
AR,05,095,00000,00069167,Monroe,County
AR,05,097,00000,00069168,Montgomery,County
AR,05,099,00000,00069169,Nevada,County
AR,05,101,00000,00069900,Newton,County
AR,05,103,00000,00069170,Ouachita,County
