,Cases 0-4 years,Hospital 0-4 years,Deaths 0-4 years,Cases 5-14 years,Hospital 5-14 years,Deaths 5-14 years,Cases 15-24 years,Hospital 15-24 years,Deaths 15-24 years,Cases 25-34 years,Hospital 25-34 years,Deaths 25-34 years,Cases 35-44 years,Hospital 35-44 years,Deaths 35-44 years,Cases 45-54 years,Hospital 45-54 years,Deaths 45-54 years,Cases 55-64 years,Hospital 55-64 years,Deaths 55-64 years,Cases 65-74 years,Hospital 65-74 years,Deaths 65-74 years,Cases 75-84 years,Hospital 75-84 years,Deaths 75-84 years,Cases 85+ years,Hospital 85+ years,Deaths 85+ years,Cases Unknown,Hospital Unknown,Deaths Unknown,Cases_smooth,Hospital_smooth,Deaths_smooth,Cases,Hospital,Deaths
2020-04-01,25,1,0,44,2,0,521,12,0,1045,39,1,1046,82,2,1200,128,3,1140,173,8,923,205,22,559,176,31,188,72,20,3,0,0,33501.47239032295,3812.7996849008964,257.5132461467112,31634.73339939165,3743.5919497686205,284.2332901796723
2020-04-02,34,1,0,54,3,0,661,17,0,1340,50,2,1346,108,4,1575,166,3,1520,220,12,1222,279,39,688,230,44,247,93,40,7,0,0,37275.99009502225,4463.743301795783,417.4057331092476,36505.75460110082,4509.833126086603,460.3062462582611
2020-04-03,37,2,0,63,3,0,738,17,0,1549,60,2,1510,123,4,1824,183,4,1723,251,14,1398,316,45,781,263,53,290,116,48,12,0,0,41043.833986206126,5114.6505105310225,577.4900829478444,40601.99995915883,5166.0613173917,605.5591345408261
2020-04-04,43,2,0,74,3,0,829,17,0,1751,65,3,1714,138,5,2057,201,5,1940,266,16,1546,351,50,874,294,63,331,133,53,14,0,0,44804.90453396848,5765.521004311976,737.7696668199685,44709.386366738865,5791.277696676415,749.9945873262675
2020-04-05,51,3,0,78,3,0,880,18,0,1867,71,3,1841,144,7,2205,208,6,2080,280,20,1655,371,54,943,315,70,348,141,61,13,1,0,48559.22774171865,6416.3399133135,898.2395362646788,48350.94673390512,6365.4683983306595,895.6071646550873
2020-04-06,55,3,0,84,3,0,957,18,0,2076,83,3,2037,157,8,2438,228,8,2302,305,26,1835,426,62,1034,337,81,382,159,66,14,1,0,52306.9013079643,7067.084476212287,1058.8892493728501,52451.77688806572,7019.611241491381,1048.3861600617279
2020-04-07,59,3,0,96,3,0,1017,21,0,2237,87,3,2208,174,10,2638,242,10,2501,331,27,1975,472,67,1127,376,100,424,183,79,20,2,0,56048.100841159045,7717.737982202483,1219.7056737717141,56382.043291533984,7682.689768881162,1210.3183650847213
2020-04-08,59,3,0,103,3,0,1096,26,0,2356,95,4,2358,188,11,2811,257,10,2657,364,32,2102,517,70,1202,418,108,468,209,88,22,2,0,59783.03409961029,8368.293420156338,1380.6743331159612,60150.93564419883,8359.696952886326,1357.3893862171774
2020-04-09,68,4,0,114,3,0,1155,28,0,2516,108,4,2538,203,12,3003,291,13,2854,402,35,2236,569,80,1277,456,127,538,232,100,24,2,0,63511.9081615277,9018.752927767004,1541.7794413841307,64071.63023302772,9064.634653827901,1525.583683452878
2020-04-10,72,6,0,124,4,0,1238,31,0,2663,117,4,2702,227,11,3225,322,16,3045,430,41,2389,617,94,1376,492,142,590,248,111,24,2,0,67234.93482940838,9669.124188977426,1703.0050959154178,68023.28709401847,9751.509901664402,1693.8858247890978
