name,population
California,39.512223
Texas,28.995880999999997
Florida,21.477736999999998
New York,19.453561
Pennsylvania,12.801988999999999
Illinois,12.671821
Ohio,11.6891
Georgia,10.617422999999999
North Carolina,10.488083999999999
Michigan,9.986856999999999
New Jersey,8.88219
Virginia,8.535518999999999
Washington,7.6148929999999995
Arizona,7.278716999999999
Massachusetts,6.949503
Tennessee,6.833174
Indiana,6.732219
Missouri,6.137428
Maryland,6.04568
Wisconsin,5.822433999999999
Colorado,5.758736
Minnesota,5.639632
South Carolina,5.148714
Alabama,4.903185
Louisiana,4.648794
Kentucky,4.467673
Oregon,4.217737
Oklahoma,3.956971
Connecticut,3.5652869999999997
Utah,3.205958
Puerto Rico,3.193694
Iowa,3.15507
Nevada,3.0801559999999997
Arkansas,3.0178249999999998
Mississippi,2.976149
Kansas,2.9133139999999997
New Mexico,2.096829
Nebraska,1.934408
West Virginia,1.792147
Idaho,1.787065
Hawaii,1.415872
New Hampshire,1.359711
Maine,1.344212
Montana,1.068778
Rhode Island,1.059361
Delaware,0.973764
South Dakota,0.884659
North Dakota,0.762062
Alaska,0.731545
,325.386357
Vermont,0.623989
Wyoming,0.578759
Guam,0.165718
U.S. Virgin Islands,0.104914
American Samoa,0.055640999999999996
The fifty states,327.533795
Fifty states + D.C.,328.23952299999996
Total U.S. (including D.C. and territories),331.814684
