,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2021-01-01,365747,46986,530267,229442,2336201,337161,185708,58064,29252,1323315,677589,22022,141077,963389,517773,282980,230303,265261,315275,24902,280219,375178,528621,415302,218386,407477,81555,167716,227046,44028,482861,144142,995816,539545,92770,700380,290936,113909,652091,77054,87949,307507,99164,586802,1782956,276612,7412,354766,246752,87820,522523,44409
2021-01-02,369458,47801,539150,231442,2388557,339172,190120,58873,29509,1354833,685122,22181,142199,975352,523090,283895,230314,273970,315275,25245,283171,384181,538121,417832,220277,410305,81944,168262,228871,45206,488372,145379,1011665,558437,92891,714673,296055,116348,660580,77932,87949,312718,99829,604132,1801181,281654,7689,358755,246752,89327,523652,44573
2021-01-03,371934,48098,556384,233475,2426930,341250,190120,59484,29764,1365436,690900,22303,142507,979821,526071,284715,230314,276825,321058,25592,285319,387662,538121,420544,222061,412838,82381,169000,231614,46450,492042,146394,1023897,564924,93041,721481,304072,117745,664913,78169,87949,321669,100532,608297,1816886,283473,7793,363765,255396,91058,526245,44875
2021-01-04,374095,48363,561542,234781,2458100,343435,194636,60333,29904,1376692,696063,22378,143305,984880,529688,286356,234297,279142,322181,25967,287802,392568,543611,423688,223677,414213,82664,169585,233032,47328,493102,147315,1035139,570111,93240,727423,306771,118453,670039,78805,92708,325472,100643,612250,1831146,285633,7873,367536,256435,91886,527871,45257
2021-01-05,379593,48560,567474,238888,2495814,346893,196968,61100,30166,1392123,706154,22485,144843,991719,533083,288298,233136,280835,326648,26565,289758,397202,546642,425261,225444,416886,83378,171033,235455,47992,499636,148499,1048281,575396,93494,735003,308268,119488,678998,79319,93852,328073,101076,617649,1864173,288951,8038,371913,258767,93162,531890,45569
2021-01-06,384184,48899,574680,242593,2530857,349450,199454,61729,30482,1409906,713840,22610,146106,999288,539229,290776,238371,286540,333524,27090,292904,404053,551498,427587,228235,419168,84060,172469,237393,48838,504647,149984,1064297,582348,93832,742817,311573,120223,688398,79612,95463,333235,101684,625380,1884799,292720,8158,377300,260752,94678,535999,45890
2021-01-07,389230,49228,584593,245916,2576355,352923,202758,62949,30750,1429722,723630,22897,147173,1008045,546499,293189,238371,291429,338054,27625,295874,411601,555747,429570,228235,423908,84750,173591,240796,49261,510839,151819,1081885,592746,94156,753068,315354,121085,698005,79898,96591,338112,102132,634237,1910091,297317,8403,382679,264012,96002,540508,46168
2021-01-08,394287,49639,596251,248860,2619829,356110,205994,63503,31107,1449252,736926,23180,148258,1017322,552594,294762,243648,296166,341431,28407,299606,419721,559655,431944,233665,428006,85568,174614,243661,50152,516608,153456,1101445,602774,94438,762603,320586,122847,708221,82067,97614,344176,102580,640606,1923399,301110,8619,387917,268607,97898,544618,46647
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-26,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-27,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-28,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-29,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-30,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-01-31,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-02-01,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
